dpe_classe,ges_classe,type_energie,consommation_kwh_m2,surface_m2,annee_construction,type_logement_immeuble,departement,code_postal,latitude,longitude,source_type
C,C,individuel,60.6,60.7,NA,appartement,69,69008,6517085.8,845557.57,Neuf
C,C,individuel,57.3,60,NA,appartement,69,69008,6516649.15,846039.95,Neuf
C,C,individuel,56.2,61.4,NA,appartement,69,69008,6516649.15,846039.95,Neuf
C,C,individuel,75,66.3,NA,appartement,69,69008,6515699.75,846748.82,Neuf
C,C,individuel,74.4,61.4,NA,appartement,69,69008,6517082.09,845574.46,Neuf
C,C,individuel,67.3,88.6,NA,appartement,69,69008,6517085.8,845557.57,Neuf
C,C,individuel,67.4,26.6,NA,appartement,69,69008,6516649.15,846039.95,Neuf
C,C,individuel,71.4,62.5,NA,appartement,69,69008,6517082.09,845574.46,Neuf
C,C,individuel,75.7,64.9,NA,appartement,69,69008,6516649.15,846039.95,Neuf
C,C,individuel,51.1,60.4,NA,appartement,69,69008,6516649.15,846039.95,Neuf
C,C,individuel,82.9,92,NA,appartement,69,69008,6517077.08,845597.22,Neuf
C,C,individuel,68.3,68,NA,appartement,69,69008,6515696.68,845911.36,Neuf
C,C,individuel,52.3,73.9,NA,appartement,69,69008,6516649.15,846039.95,Neuf
C,C,individuel,53.8,90.1,NA,appartement,69,69008,6515696.68,845911.36,Neuf
C,C,individuel,62.3,100.7,NA,appartement,69,69008,6517085.8,845557.57,Neuf
C,C,individuel,74,61.4,NA,appartement,69,69008,6517082.09,845574.46,Neuf
C,C,individuel,78,44.2,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,68.8,61.2,NA,appartement,69,69008,6517082.09,845574.46,Neuf
C,C,individuel,72.6,63.2,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,59.7,68.1,NA,appartement,69,69008,6517085.8,845557.57,Neuf
C,C,individuel,93.5,63.7,NA,appartement,69,69008,6517073.54,845612.08,Neuf
C,C,individuel,66.7,66.3,NA,appartement,69,69008,6517085.8,845557.57,Neuf
B,B,individuel,49.5,69.8,NA,appartement,69,69008,6515696.68,845911.36,Neuf
C,C,individuel,119.4,33.6,NA,appartement,69,69008,6515696.68,845911.36,Neuf
C,C,individuel,66.5,87.7,NA,appartement,69,69008,6515696.68,845911.36,Neuf
C,C,individuel,73.4,61.4,NA,appartement,69,69008,6517082.09,845574.46,Neuf
C,C,individuel,89.3,46.6,NA,appartement,69,69008,6517073.54,845612.08,Neuf
C,C,individuel,71.8,64.6,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,85.3,43.7,NA,appartement,69,69008,6517073.54,845612.08,Neuf
C,C,individuel,77.4,69,NA,appartement,69,69008,6517085.8,845557.57,Neuf
C,C,individuel,57.6,46,NA,appartement,69,69008,6516649.15,846039.95,Neuf
C,C,individuel,67.4,26.6,NA,appartement,69,69008,6516649.15,846039.95,Neuf
C,C,individuel,65.9,63.3,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,100.5,26.5,NA,appartement,69,69008,6517082.09,845574.46,Neuf
C,C,individuel,87.3,60.8,NA,appartement,69,69008,6517073.54,845612.08,Neuf
C,C,individuel,81.3,43.1,NA,appartement,69,69008,6515696.68,845911.36,Neuf
C,C,individuel,63.4,93.1,NA,appartement,69,69008,6515696.68,845911.36,Neuf
C,C,individuel,68.8,61.2,NA,appartement,69,69008,6517082.09,845574.46,Neuf
C,C,individuel,98.9,34.7,NA,appartement,69,69008,6517082.09,845574.46,Neuf
C,C,individuel,68.9,64.4,NA,appartement,69,69008,6517085.8,845557.57,Neuf
C,C,individuel,51.1,60,NA,appartement,69,69008,6516649.15,846039.95,Neuf
